ICD9,Description,HCUP CCS Classification,HCC Category,CCW Classification,CDPS Classification
20144,Hodg lymph-histio axilla,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20145,Hodg lymph-histio inguin,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20146,Hodg lymph-histio pelvic,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20147,Hodg lymph-histio spleen,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20148,Hodg lymph-histio mult,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20150,Ndr sclr unsp xtrndl org,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20151,Hodg nodul sclero head,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20152,Hodg nodul sclero thorax,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20153,Hodg nodul sclero abdom,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20154,Hodg nodul sclero axilla,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20155,Hodg nodul sclero inguin,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20156,Hodg nodul sclero pelvic,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20157,Hodg nodul sclero spleen,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20158,Hodg nodul sclero mult,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20160,Mxd celr unsp xtrndl org,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20161,Hodgkins mix cell head,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20162,Hodgkins mix cell thorax,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20163,Hodgkins mix cell abdom,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20164,Hodgkins mix cell axilla,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20165,Hodgkins mix cell inguin,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20166,Hodgkins mix cell pelvic,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20167,Hodgkins mix cell spleen,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20168,Hodgkins mix cell mult,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20170,Lym dplt unsp xtrndl org,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20171,Hodg lymph deplet head,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20172,Hodg lymph deplet thorax,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20173,Hodg lymph deplet abdom,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20174,Hodg lymph deplet axilla,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20175,Hodg lymph deplet inguin,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20176,Hodg lymph deplet pelvic,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20177,Hodg lymph deplet spleen,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20178,Hodg lymph deplet mult,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20190,Hdgk dis unsp xtrndl org,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20191,Hodgkins dis NOS head,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20192,Hodgkins dis NOS thorax,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20193,Hodgkins dis NOS abdom,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20194,Hodgkins dis NOS axilla,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20195,Hodgkins dis NOS inguin,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20196,Hodgkins dis NOS pelvic,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20197,Hodgkins dis NOS spleen,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20198,Hodgkins dis NOS mult,Hodgkin-s ds,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20200,Ndlr lym unsp xtrndl org,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
20201,Nodular lymphoma head,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
20202,Nodular lymphoma thorax,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
20203,Nodular lymphoma abdom,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
20204,Nodular lymphoma axilla,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
20205,Nodular lymphoma inguin,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
20206,Nodular lymphoma pelvic,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
20207,Nodular lymphoma spleen,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
20208,Nodular lymphoma mult,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
20210,Mycs fng unsp xtrndl org,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
20211,Mycosis fungoides head,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
20212,Mycosis fungoides thorax,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
20213,Mycosis fungoides abdom,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
20214,Mycosis fungoides axilla,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
20215,Mycosis fungoides inguin,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
20216,Mycosis fungoides pelvic,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
20217,Mycosis fungoides spleen,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
20218,Mycosis fungoides mult,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
20220,Szry dis unsp xtrndl org,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20221,Sezary's disease head,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20222,Sezary's disease thorax,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20223,Sezary's disease abdom,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20224,Sezary's disease axilla,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20225,Sezary's disease inguin,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20226,Sezary's disease pelvic,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20227,Sezary's disease spleen,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20228,Sezary's disease mult,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20230,Mlg hist unsp xtrndl org,Ot primry ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20231,Mal histiocytosis head,Ot primry ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20232,Mal histiocytosis thorax,Ot primry ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20233,Mal histiocytosis abdom,Ot primry ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20234,Mal histiocytosis axilla,Ot primry ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20235,Mal histiocytosis inguin,Ot primry ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20236,Mal histiocytosis pelvic,Ot primry ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20237,Mal histiocytosis spleen,Ot primry ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20238,Mal histiocytosis mult,Ot primry ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20240,Lk rtctl unsp xtrndl org,Leukemias,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20241,Hairy-cell leukem head,Leukemias,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20242,Hairy-cell leukem thorax,Leukemias,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20243,Hairy-cell leukem abdom,Leukemias,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20244,Hairy-cell leukem axilla,Leukemias,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20245,Hairy-cell leukem inguin,Leukemias,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20246,Hairy-cell leukem pelvic,Leukemias,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20247,Hairy-cell leukem spleen,Leukemias,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20248,Hairy-cell leukem mult,Leukemias,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20250,Ltr-siwe unsp xtrndl org,Ot primry ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20251,Letterer-siwe dis head,Ot primry ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20252,Letterer-siwe dis thorax,Ot primry ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20253,Letterer-siwe dis abdom,Ot primry ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20254,Letterer-siwe dis axilla,Ot primry ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20255,Letterer-siwe dis inguin,Ot primry ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20256,Letterer-siwe dis pelvic,Ot primry ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20257,Letterer-siwe dis spleen,Ot primry ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20258,Letterer-siwe dis mult,Ot primry ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20260,Mlg mast unsp xtrndl org,Ot primry ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20261,Mal mastocytosis head,Ot primry ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20262,Mal mastocytosis thorax,Ot primry ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20263,Mal mastocytosis abdom,Ot primry ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20264,Mal mastocytosis axilla,Ot primry ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20265,Mal mastocytosis inguin,Ot primry ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20266,Mal mastocytosis pelvic,Ot primry ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20267,Mal mastocytosis spleen,Ot primry ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20268,Mal mastocytosis mult,Ot primry ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20270,Periph T cell lym xtrndl,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
20271,Periph T cell lymph head,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
20272,Periph T cell lym thorax,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
20273,Periph T cell lym abdom,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
20274,Periph T cell lym axilla,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
20275,Periph T cell lym inguin,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
20276,Periph T cell lym pelvic,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
20277,Periph T cell lym spleen,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
20278,Periph T cell lym multip,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
20280,Oth lymp unsp xtrndl org,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20281,Lymphomas NEC head,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20282,Lymphomas NEC thorax,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20283,Lymphomas NEC abdom,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20284,Lymphomas NEC axilla,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20285,Lymphomas NEC inguin,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20286,Lymphomas NEC pelvic,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20287,Lymphomas NEC spleen,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20288,Lymphomas NEC mult,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20290,Unsp lym unsp xtrndl org,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20291,Lymphoid mal NEC head,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20292,Lymphoid mal NEC thorax,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20293,Lymphoid mal NEC abdom,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20294,Lymphoid mal NEC axilla,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20295,Lymphoid mal NEC inguin,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20296,Lymphoid mal NEC pelvic,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20297,Lymphoid mal NEC spleen,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20298,Lymphoid mal NEC mult,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
20300,Mult mye w/o achv rmson,Mult myeloma,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Very High"
20301,Mult myelm w remission,Mult myeloma,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Very High"
20302,Mult myeloma in relapse,Mult myeloma,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Very High"
20310,Pls cl leu w/o achv rmsn,Leukemias,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Very High"
20311,Plsm cell leuk w rmson,Leukemias,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Very High"
20312,Plsm cel leuk in relapse,Leukemias,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Very High"
20380,Oth imno npl wo ach rmsn,Mult myeloma,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Very High"
20381,Oth imnprfl npl w rmsn,Mult myeloma,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Very High"
20382,Oth imnprlf neo-relapse,Mult myeloma,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Very High"
20400,Ac lym leuk wo achv rmsn,Leukemias,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, High"
20401,Act lym leuk w rmsion,Leukemias,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, High"
20402,Act lymp leuk in relapse,Leukemias,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, High"
20410,Ch lym leuk wo achv rmsn,Leukemias,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
20411,Chr lym leuk w rmsion,Leukemias,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
20412,Chr lymp leuk in relapse,Leukemias,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
20420,Sbac lym leu wo ach rmsn,Leukemias,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
20421,Sbac lym leuk w rmsion,Leukemias,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
20422,Sbac lym leuk in relapse,Leukemias,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
20480,Oth lym leu wo achv rmsn,Leukemias,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
20481,Oth lym leuk w rmsion,Leukemias,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
20482,Oth lym leuk in relapse,Leukemias,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
20490,Uns lym leu wo ach rmsn,Leukemias,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
20491,Uns lym leuk w rmsion,Leukemias,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
20492,Lymp leuk NOS relapse,Leukemias,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
20500,Ac myl leuk wo achv rmsn,Leukemias,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, High"
20501,Act myl leuk w rmsion,Leukemias,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, High"
20502,Act myel leuk in relapse,Leukemias,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, High"
20510,Ch myl leuk wo achv rmsn,Leukemias,"HCC8 Lung, Upper Digestive Tract, and Other Severe Cancers",,"Cancer, High"
20511,Chr myl leuk w rmsion,Leukemias,"HCC8 Lung, Upper Digestive Tract, and Other Severe Cancers",,"Cancer, High"
20512,Chr myel leuk in relapse,Leukemias,"HCC8 Lung, Upper Digestive Tract, and Other Severe Cancers",,"Cancer, High"
20520,Sbac myl leu wo ach rmsn,Leukemias,"HCC8 Lung, Upper Digestive Tract, and Other Severe Cancers",,"Cancer, High"
20521,Sbac myl leuk w rmsion,Leukemias,"HCC8 Lung, Upper Digestive Tract, and Other Severe Cancers",,"Cancer, High"
20522,Sbac myl leuk in relapse,Leukemias,"HCC8 Lung, Upper Digestive Tract, and Other Severe Cancers",,"Cancer, High"
20530,Myl sarcoma wo achv rmsn,Leukemias,"HCC8 Lung, Upper Digestive Tract, and Other Severe Cancers",,"Cancer, High"
20531,Myl srcoma w rmsion,Leukemias,"HCC8 Lung, Upper Digestive Tract, and Other Severe Cancers",,"Cancer, High"
20532,Myel sarcoma in relapse,Leukemias,"HCC8 Lung, Upper Digestive Tract, and Other Severe Cancers",,"Cancer, High"
20580,Oth my leuk wo achv rmsn,Leukemias,"HCC8 Lung, Upper Digestive Tract, and Other Severe Cancers",,"Cancer, High"
20581,Oth myl leuk w rmsion,Leukemias,"HCC8 Lung, Upper Digestive Tract, and Other Severe Cancers",,"Cancer, High"
20582,Oth myel leuk in relapse,Leukemias,"HCC8 Lung, Upper Digestive Tract, and Other Severe Cancers",,"Cancer, High"
20590,Uns my leu wo ach rmsn,Leukemias,"HCC8 Lung, Upper Digestive Tract, and Other Severe Cancers",,"Cancer, High"
20591,Uns myl leuk w rmsion,Leukemias,"HCC8 Lung, Upper Digestive Tract, and Other Severe Cancers",,"Cancer, High"
20592,Myel leuk NOS in relapse,Leukemias,"HCC8 Lung, Upper Digestive Tract, and Other Severe Cancers",,"Cancer, High"
20600,Ac mono leu wo achv rmsn,Leukemias,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, High"
20601,Act mono leuk w rmsion,Leukemias,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, High"
20602,Act mono leuk in relapse,Leukemias,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, High"
20610,Ch mono leu wo achv rmsn,Leukemias,"HCC8 Lung, Upper Digestive Tract, and Other Severe Cancers",,"Cancer, High"
20611,Chr mono leuk w rmsion,Leukemias,"HCC8 Lung, Upper Digestive Tract, and Other Severe Cancers",,"Cancer, High"
20612,Chr mono leuk in relapse,Leukemias,"HCC8 Lung, Upper Digestive Tract, and Other Severe Cancers",,"Cancer, High"
20620,Sbac mno leu wo ach rmsn,Leukemias,"HCC8 Lung, Upper Digestive Tract, and Other Severe Cancers",,"Cancer, High"
20621,Sbac mono leuk w rmsion,Leukemias,"HCC8 Lung, Upper Digestive Tract, and Other Severe Cancers",,"Cancer, High"
20622,Sbac mono leu in relapse,Leukemias,"HCC8 Lung, Upper Digestive Tract, and Other Severe Cancers",,"Cancer, High"
20680,Ot mono leu wo achv rmsn,Leukemias,"HCC8 Lung, Upper Digestive Tract, and Other Severe Cancers",,"Cancer, High"
20681,Oth mono leuk w rmsion,Leukemias,"HCC8 Lung, Upper Digestive Tract, and Other Severe Cancers",,"Cancer, High"
20682,Oth mono leuk in relapse,Leukemias,"HCC8 Lung, Upper Digestive Tract, and Other Severe Cancers",,"Cancer, High"
20690,Uns mno leu wo ach rmsn,Leukemias,"HCC8 Lung, Upper Digestive Tract, and Other Severe Cancers",,"Cancer, High"
20691,Uns mono leuk w rmsion,Leukemias,"HCC8 Lung, Upper Digestive Tract, and Other Severe Cancers",,"Cancer, High"
20692,Mono leuk NOS relapse,Leukemias,"HCC8 Lung, Upper Digestive Tract, and Other Severe Cancers",,"Cancer, High"
20700,Ac erth/erlk wo ach rmsn,Leukemias,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, High"
20701,Act erth/erylk w rmson,Leukemias,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, High"
20702,Ac erth/erylk in relapse,Leukemias,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, High"
20710,Chr erythrm w/o ach rmsn,Leukemias,"HCC8 Lung, Upper Digestive Tract, and Other Severe Cancers",,"Cancer, High"
20711,Chr erythrm w remision,Leukemias,"HCC8 Lung, Upper Digestive Tract, and Other Severe Cancers",,"Cancer, High"
20712,Chr erythrmia in relapse,Leukemias,"HCC8 Lung, Upper Digestive Tract, and Other Severe Cancers",,"Cancer, High"
20720,Mgkrcyt leuk wo ach rmsn,Leukemias,"HCC8 Lung, Upper Digestive Tract, and Other Severe Cancers",,"Cancer, High"
20721,Mgkrycyt leuk w rmsion,Leukemias,"HCC8 Lung, Upper Digestive Tract, and Other Severe Cancers",,"Cancer, High"
20722,Mgkrycyt leuk in relapse,Leukemias,"HCC8 Lung, Upper Digestive Tract, and Other Severe Cancers",,"Cancer, High"
20780,Oth leuk w/o achv rmsn,Leukemias,"HCC8 Lung, Upper Digestive Tract, and Other Severe Cancers",,"Cancer, High"
20781,Oth spf leuk w remsion,Leukemias,"HCC8 Lung, Upper Digestive Tract, and Other Severe Cancers",,"Cancer, High"
20782,Oth spf leuk in relapse,Leukemias,"HCC8 Lung, Upper Digestive Tract, and Other Severe Cancers",,"Cancer, High"
